LICENSE PLATE,VIN,MAKE,MODEL,COVERAGE VALID FROM,COVERAGE VALID TO,COUNTRY
,LGXCH6CD9P2288528,BYD,SEAL,4/4/2024,3/4/2028,NL
,LGXCH6CD9P2288139,BYD,SEAL,6/3/2024,5/3/2028,BE
,LGXCH6CD9P2288111,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CD9P2285466,BYD,SEAL,28/03/2024,27/03/2028,UK
,LGXCH6CD9P2285435,BYD,SEAL,22/02/2024,21/02/2028,UK
,LGXCH6CD9P2285418,BYD,SEAL,8/3/2024,7/3/2028,UK
,LGXCH6CD9P2284284,BYD,SEAL,22/03/2024,21/03/2028,UK
,LGXCH6CD9P2284270,BYD,SEAL,12/3/2024,11/3/2028,UK
,LGXCH6CD9P2284267,BYD,SEAL,18/03/2024,17/03/2028,UK
,LGXCH6CD9P2277237,BYD,SEAL,12/3/2024,11/3/2028,HU
,LGXCH6CD9P2276461,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CD9P2275441,BYD,SEAL,8/5/2024,7/5/2028,AT
,LGXCH6CD9P2275410,BYD,SEAL,12/2/2024,11/2/2028,AT
,LGXCH6CD9P2275407,BYD,SEAL,10/5/2024,9/5/2028,NL
,LGXCH6CD9P2275343,BYD,SEAL,4/4/2024,3/4/2028,IE
,LGXCH6CD9P2275326,BYD,SEAL,30/01/2024,29/01/2028,IE
,LGXCH6CD9P2275293,BYD,SEAL,29/01/2024,28/01/2028,IE
,LGXCH6CD9P2275150,BYD,SEAL,22/03/2024,21/03/2028,IE
,LGXCH6CD9P2275147,BYD,SEAL,12/4/2024,11/4/2028,IE
,LGXCH6CD9P2275133,BYD,SEAL,9/2/2024,8/2/2028,IE
,LGXCH6CD9P2275116,BYD,SEAL,9/2/2024,8/2/2028,IE
,LGXCH6CD9P2275102,BYD,SEAL,9/2/2024,8/2/2028,IE
,LGXCH6CD9P2275083,BYD,SEAL,19/02/2024,18/02/2028,IE
,LGXCH6CD9P2275066,BYD,SEAL,10/4/2024,9/4/2028,IE
,LGXCH6CD9P2275049,BYD,SEAL,3/4/2024,2/4/2028,IE
,LGXCH6CD9P2271390,BYD,SEAL,13/02/2024,12/2/2028,FR
,LGXCH6CD9P2271356,BYD,SEAL,14/02/2024,13/02/2028,FR
,LGXCH6CD9P2271339,BYD,SEAL,29/02/2024,28/02/2028,AT
,LGXCH6CD9P2271325,BYD,SEAL,14/02/2024,13/02/2028,FR
,LGXCH6CD9P2271275,BYD,SEAL,14/02/2024,13/02/2028,FR
,LGXCH6CD9P2271258,BYD,SEAL,14/02/2024,13/02/2028,FR
,LGXCH6CD9P2268358,BYD,SEAL,13/02/2024,12/2/2028,AT
,LGXCH6CD9P2268330,BYD,SEAL,30/04/2024,29/04/2028,ES
,LGXCH6CD9P2267906,BYD,SEAL,21/02/2024,20/02/2028,BE
,LGXCH6CD9P2265962,BYD,SEAL,1/3/2024,29/02/2028,FR
,LGXCH6CD9P2263886,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CD9P2262687,BYD,SEAL,20/02/2024,19/02/2028,FR
,LGXCH6CD9P2258865,BYD,SEAL,15/03/2024,14/03/2028,AT
,LGXCH6CD9P2258803,BYD,SEAL,5/4/2024,4/4/2028,FR
,LGXCH6CD9P2252161,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CD9P2249437,BYD,SEAL,13/02/2024,12/2/2028,FR
,LGXCH6CD9P2247221,BYD,SEAL,6/2/2024,5/2/2028,ES
,LGXCH6CD9P2247218,BYD,SEAL,13/02/2024,12/2/2028,FR
,LGXCH6CD9P2246232,BYD,SEAL,18/04/2024,17/04/2028,ES
,LGXCH6CD9P2244206,BYD,SEAL,30/01/2024,29/01/2028,FR
,LGXCH6CD9P2244190,BYD,SEAL,28/04/2024,27/04/2028,NL
,LGXCH6CD9P2244156,BYD,SEAL,16/02/2024,15/02/2028,FR
,LGXCH6CD9P2243072,BYD,SEAL,27/03/2024,26/03/2028,FR
,LGXCH6CD9P2224294,BYD,SEAL,31/01/2024,30/01/2028,FR
,LGXCH6CD9P2223677,BYD,SEAL,6/1/2024,5/1/2028,FR
,LGXCH6CD9P2223646,BYD,SEAL,26/01/2024,25/01/2028,FR
,LGXCH6CD9P2222724,BYD,SEAL,22/01/2024,21/01/2028,ES
,LGXCH6CD9P2222710,BYD,SEAL,10/1/2024,9/1/2028,ES
,LGXCH6CD9P2222593,BYD,SEAL,13/03/2024,12/3/2028,DE
,LGXCH6CD9P2204210,BYD,SEAL,29/01/2024,28/01/2028,IE
,LGXCH6CD9P2204207,BYD,SEAL,20/01/2024,19/01/2028,IE
,LGXCH6CD9P2204191,BYD,SEAL,22/01/2024,21/01/2028,IE
,LGXCH6CD9P2202442,BYD,SEAL,29/01/2024,28/01/2028,IE
,LGXCH6CD9P2202439,BYD,SEAL,15/01/2024,14/01/2028,IE
,LGXCH6CD9P2202425,BYD,SEAL,16/01/2024,15/01/2028,IE
,LGXCH6CD9P2202411,BYD,SEAL,18/01/2024,17/01/2028,IE
,LGXCH6CD9P2202408,BYD,SEAL,31/01/2024,30/01/2028,IE
,LGXCH6CD9P2199638,BYD,SEAL,11/3/2024,10/3/2028,UK
,LGXCH6CD9P2198683,BYD,SEAL,29/03/2024,28/03/2028,UK
,LGXCH6CD9P2197744,BYD,SEAL,1/12/2023,30/11/2027,UK
,LGXCH6CD9P2195802,BYD,SEAL,22/01/2024,21/01/2028,IE
,LGXCH6CD8R2013820,BYD,SEAL,17/04/2024,16/04/2028,BE
,LGXCH6CD8R2008410,BYD,SEAL,15/04/2024,14/04/2028,IE
,LGXCH6CD8R2008391,BYD,SEAL,5/4/2024,4/4/2028,IE
,LGXCH6CD8R2008245,BYD,SEAL,2/4/2024,1/4/2028,IE
,LGXCH6CD8R2008231,BYD,SEAL,27/03/2024,26/03/2028,IE
,LGXCH6CD8R2008214,BYD,SEAL,27/03/2024,26/03/2028,UK
,LGXCH6CD8P2305335,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CD8P2305321,BYD,SEAL,19/06/2024,18/06/2028,DK
,LGXCH6CD8P2291422,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CD8P2288083,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CD8P2285474,BYD,SEAL,21/03/2024,20/03/2028,UK
,LGXCH6CD8P2285457,BYD,SEAL,5/3/2024,4/3/2028,UK
,LGXCH6CD8P2284292,BYD,SEAL,20/03/2024,19/03/2028,UK
,LGXCH6CD8P2284289,BYD,SEAL,1/3/2024,29/02/2028,UK
,LGXCH6CD8P2278587,BYD,SEAL,24/04/2024,23/04/2028,AT
,LGXCH6CD8P2278539,BYD,SEAL,29/02/2024,28/02/2028,AT
,LGXCH6CD8P2277245,BYD,SEAL,22/04/2024,21/04/2028,BE
,LGXCH6CD8P2277231,BYD,SEAL,19/06/2024,18/06/2028,DK
,LGXCH6CD8P2275317,BYD,SEAL,22/03/2024,21/03/2028,IE
,LGXCH6CD8P2275303,BYD,SEAL,30/01/2024,29/01/2028,IE
,LGXCH6CD8P2275155,BYD,SEAL,15/04/2024,14/04/2028,IE
,LGXCH6CD8P2275141,BYD,SEAL,11/3/2024,10/3/2028,IE
,LGXCH6CD8P2275138,BYD,SEAL,22/03/2024,21/03/2028,IE
,LGXCH6CD8P2275124,BYD,SEAL,4/4/2024,3/4/2028,IE
,LGXCH6CD8P2275088,BYD,SEAL,28/02/2024,27/02/2028,IE
,LGXCH6CD8P2275074,BYD,SEAL,28/02/2024,27/02/2028,IE
,LGXCH6CD8P2275060,BYD,SEAL,28/02/2024,27/02/2028,IE
,LGXCH6CD8P2275043,BYD,SEAL,23/02/2024,22/02/2028,IE
,LGXCH6CD8P2275026,BYD,SEAL,28/02/2024,27/02/2028,IE
,LGXCH6CD8P2272157,BYD,SEAL,30/04/2024,29/04/2028,ES
,LGXCH6CD8P2272143,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CD8P2272109,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CD8P2271378,BYD,SEAL,14/02/2024,13/02/2028,FR
,LGXCH6CD8P2271364,BYD,SEAL,14/02/2024,13/02/2028,FR
,LGXCH6CD8P2271283,BYD,SEAL,14/02/2024,13/02/2028,FR
,LGXCH6CD8P2271252,BYD,SEAL,5/3/2024,4/3/2028,BE
,LGXCH6CD8P2268366,BYD,SEAL,10/4/2024,9/4/2028,BE
,LGXCH6CD8P2268156,BYD,SEAL,8/2/2024,7/2/2028,IE
,LGXCH6CD8P2267931,BYD,SEAL,26/01/2024,25/01/2028,FR
,LGXCH6CD8P2267914,BYD,SEAL,30/03/2024,29/03/2028,BE
,LGXCH6CD8P2263880,BYD,SEAL,10/4/2024,9/4/2028,ES
,LGXCH6CD8P2262938,BYD,SEAL,25/04/2024,24/04/2028,ES
,LGXCH6CD8P2262678,BYD,SEAL,13/02/2024,12/2/2028,BE
,LGXCH6CD8P2258842,BYD,SEAL,9/4/2024,8/4/2028,BE
,LGXCH6CD8P2258808,BYD,SEAL,19/01/2024,18/01/2028,BE
,LGXCH6CD8P2252345,BYD,SEAL,13/02/2024,12/2/2028,FR
,LGXCH6CD8P2252328,BYD,SEAL,30/04/2024,29/04/2028,ES
,LGXCH6CD8P2252166,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CD8P2249445,BYD,SEAL,13/02/2024,12/2/2028,FR
,LGXCH6CD8P2249199,BYD,SEAL,8/3/2024,7/3/2028,BE
,LGXCH6CD8P2247226,BYD,SEAL,9/2/2024,8/2/2028,ES
,LGXCH6CD8P2247212,BYD,SEAL,12/4/2024,11/4/2028,ES
,LGXCH6CD8P2246237,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CD8P2244178,BYD,SEAL,29/02/2024,28/02/2028,FR
,LGXCH6CD8P2244164,BYD,SEAL,28/04/2024,27/04/2028,NL
,LGXCH6CD8P2244150,BYD,SEAL,17/04/2024,16/04/2028,ES
,LGXCH6CD8P2243077,BYD,SEAL,13/02/2024,12/2/2028,FR
,LGXCH6CD8P2224304,BYD,SEAL,12/1/2024,11/1/2028,ES
,LGXCH6CD8P2223654,BYD,SEAL,8/3/2024,7/3/2028,DE
,LGXCH6CD8P2222729,BYD,SEAL,19/12/2023,18/12/2027,ES
,LGXCH6CD8P2222696,BYD,SEAL,15/12/2023,14/12/2027,FR
,LGXCH6CD8P2222648,BYD,SEAL,22/12/2023,21/12/2027,FR
,LGXCH6CD8P2222620,BYD,SEAL,9/1/2024,8/1/2028,NL
,LGXCH6CD8P2222617,BYD,SEAL,22/12/2023,21/12/2027,DE
,LGXCH6CD8P2222603,BYD,SEAL,15/12/2023,14/12/2027,DK
,LGXCH6CD8P2222598,BYD,SEAL,12/12/2023,11/12/2027,FR
,LGXCH6CD8P2220663,BYD,SEAL,13/02/2024,12/2/2028,FR
,LGXCH6CD8P2204232,BYD,SEAL,16/01/2024,15/01/2028,IE
,LGXCH6CD8P2204229,BYD,SEAL,8/1/2024,7/1/2028,IE
,LGXCH6CD8P2204215,BYD,SEAL,14/03/2024,13/03/2028,IE
,LGXCH6CD8P2204201,BYD,SEAL,22/01/2024,21/01/2028,IE
,LGXCH6CD8P2204196,BYD,SEAL,12/2/2024,11/2/2028,IE
,LGXCH6CD8P2202450,BYD,SEAL,18/04/2024,17/04/2028,IE
,LGXCH6CD8P2202433,BYD,SEAL,14/02/2024,13/02/2028,IE
,LGXCH6CD8P2202416,BYD,SEAL,11/1/2024,10/1/2028,IE
,LGXCH6CD8P2202402,BYD,SEAL,12/1/2024,11/1/2028,IE
,LGXCH6CD8P2199629,BYD,SEAL,7/2/2024,6/2/2028,UK
,LGXCH6CD8P2197749,BYD,ATTO 3,29/02/2024,28/02/2028,UK
,LGXCH6CD8P2195810,BYD,SEAL,11/1/2024,10/1/2028,IE
,LGXCH6CD8P2195807,BYD,SEAL,11/1/2024,10/1/2028,IE
,LGXCH6CD8P2195791,BYD,SEAL,8/1/2024,7/1/2028,IE
,LGXCH6CD8P2188906,BYD,SEAL,9/1/2024,8/1/2028,FR
,LGXCH6CD8P2152083,BYD,SEAL,28/12/2023,27/12/2027,PT
,LGXCH6CD7R2008401,BYD,SEAL,26/03/2024,25/03/2028,IE
,LGXCH6CD7R2008236,BYD,SEAL,26/03/2024,25/03/2028,IE
,LGXCH6CD7R2008205,BYD,SEAL,27/03/2024,26/03/2028,UK
,LGXCH6CD7P2305312,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CD7P2305309,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CD7P2300241,BYD,SEAL,16/04/2024,15/04/2028,BE
,LGXCH6CD7P2297647,BYD,SEAL,23/02/2024,22/02/2028,AT
,LGXCH6CD7P2291475,BYD,SEAL,8/4/2024,7/4/2028,ES
,LGXCH6CD7P2290875,BYD,SEAL,30/04/2024,29/04/2028,AT
,LGXCH6CD7P2290813,BYD,SEAL,10/5/2024,9/5/2028,NL
,LGXCH6CD7P2288561,BYD,SEAL,5/3/2024,4/3/2028,UK
,LGXCH6CD7P2288138,BYD,SEAL,26/04/2024,25/04/2028,FR
,LGXCH6CD7P2285479,BYD,SEAL,4/4/2024,3/4/2028,UK
,LGXCH6CD7P2277236,BYD,SEAL,12/2/2024,11/2/2028,AT
,LGXCH6CD7P2277222,BYD,SEAL,3/5/2024,2/5/2028,AT
,LGXCH6CD7P2276443,BYD,SEAL,19/04/2024,18/04/2028,ES
,LGXCH6CD7P2275390,BYD,SEAL,5/4/2024,4/4/2028,HU
,LGXCH6CD7P2275387,BYD,SEAL,28/02/2024,27/02/2028,AT
,LGXCH6CD7P2275342,BYD,SEAL,2/4/2024,1/4/2028,IE
,LGXCH6CD7P2275311,BYD,SEAL,20/02/2024,19/02/2028,IE
,LGXCH6CD7P2275308,BYD,SEAL,6/3/2024,5/3/2028,IE
,LGXCH6CD7P2275146,BYD,SEAL,20/02/2024,19/02/2028,IE
,LGXCH6CD7P2275129,BYD,SEAL,26/03/2024,25/03/2028,IE
,LGXCH6CD7P2275115,BYD,SEAL,31/01/2024,30/01/2028,IE
,LGXCH6CD7P2275101,BYD,SEAL,12/4/2024,11/4/2028,IE
,LGXCH6CD7P2275096,BYD,SEAL,25/03/2024,24/03/2028,IE
,LGXCH6CD7P2275065,BYD,SEAL,26/03/2024,25/03/2028,IE
,LGXCH6CD7P2275034,BYD,SEAL,15/03/2024,14/03/2028,IE
,LGXCH6CD7P2272118,BYD,ATTO 3,12/4/2024,11/4/2028,HU
,LGXCH6CD7P2272117,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CD7P2271386,BYD,SEAL,16/02/2024,15/02/2028,FR
,LGXCH6CD7P2271355,BYD,SEAL,28/03/2024,27/03/2028,FR
,LGXCH6CD7P2271341,BYD,SEAL,14/02/2024,13/02/2028,FR
,LGXCH6CD7P2271338,BYD,SEAL,14/02/2024,13/02/2028,FR
,LGXCH6CD7P2271307,BYD,SEAL,14/02/2024,13/02/2028,FR
,LGXCH6CD7P2271291,BYD,SEAL,20/03/2024,19/03/2028,FR
,LGXCH6CD7P2271274,BYD,SEAL,14/02/2024,13/02/2028,FR
,LGXCH6CD7P2271260,BYD,SEAL,14/02/2024,13/02/2028,FR
,LGXCH6CD7P2268388,BYD,SEAL,29/02/2024,28/02/2028,AT
,LGXCH6CD7P2268374,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CD7P2268360,BYD,SEAL,5/3/2024,4/3/2028,FR
,LGXCH6CD7P2265961,BYD,SEAL,28/02/2024,27/02/2028,FR
,LGXCH6CD7P2264793,BYD,SEAL,13/02/2024,12/2/2028,FR
,LGXCH6CD7P2263837,BYD,SEAL,30/04/2024,29/04/2028,ES
,LGXCH6CD7P2252191,BYD,SEAL,25/03/2024,24/03/2028,BE
,LGXCH6CD7P2252160,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CD7P2248157,BYD,DOLPHIN,6/2/2024,5/2/2028,NL
,LGXCH6CD7P2248156,BYD,SEAL,23/04/2024,22/04/2028,NL
,LGXCH6CD7P2246245,BYD,SEAL,28/02/2024,27/02/2028,FR
,LGXCH6CD7P2246214,BYD,SEAL,15/03/2024,14/03/2028,AT
,LGXCH6CD7P2244219,BYD,SEAL,17/01/2024,16/01/2028,PT
,LGXCH6CD7P2244172,BYD,SEAL,2/3/2024,1/3/2028,FR
,LGXCH6CD7P2244138,BYD,SEAL,24/04/2024,23/04/2028,BE
,LGXCH6CD7P2244124,BYD,SEAL,26/02/2024,25/02/2028,FR
,LGXCH6CD7P2244110,BYD,SEAL,2/5/2024,1/5/2028,NL
,LGXCH6CD7P2243071,BYD,SEAL,15/02/2024,14/02/2028,BE
,LGXCH6CD7P2243068,BYD,SEAL,19/02/2024,18/02/2028,FR
,LGXCH6CD7P2240364,BYD,SEAL,13/03/2024,12/3/2028,BE
,LGXCH6CD7P2223712,BYD,SEAL,23/01/2024,22/01/2028,ES
,LGXCH6CD7P2223693,BYD,SEAL,19/12/2023,18/12/2027,DK
,LGXCH6CD7P2223662,BYD,SEAL,9/1/2024,8/1/2028,FR
,LGXCH6CD7P2223659,BYD,SEAL,15/12/2023,14/12/2027,FR
,LGXCH6CD7P2222625,BYD,SEAL,19/12/2023,18/12/2027,DK
,LGXCH6CD7P2222608,BYD,SEAL,21/12/2023,20/12/2027,DE
,LGXCH6CD7P2222592,BYD,SEAL,20/12/2023,19/12/2027,FR
,LGXCH6CD7P2222589,BYD,SEAL,9/1/2024,8/1/2028,FR
,LGXCH6CD7P2222575,BYD,SEAL,8/2/2024,7/2/2028,ES
,LGXCH6CD7P2208711,BYD,SEAL,26/03/2024,25/03/2028,FR
,LGXCH6CD7P2204237,BYD,SEAL,10/1/2024,9/1/2028,IE
,LGXCH6CD7P2204223,BYD,SEAL,3/1/2024,2/1/2028,IE
,LGXCH6CD7P2204206,BYD,SEAL,9/2/2024,8/2/2028,IE
,LGXCH6CD7P2204190,BYD,SEAL,27/01/2024,26/01/2028,IE
,LGXCH6CD7P2202455,BYD,SEAL,12/4/2024,11/4/2028,IE
,LGXCH6CD7P2202441,BYD,SEAL,23/01/2024,22/01/2028,IE
,LGXCH6CD7P2202438,BYD,SEAL,30/01/2024,29/01/2028,IE
,LGXCH6CD7P2202424,BYD,SEAL,22/01/2024,21/01/2028,IE
,LGXCH6CD7P2202410,BYD,SEAL,11/1/2024,10/1/2028,IE
,LGXCH6CD7P2202407,BYD,SEAL,13/03/2024,12/3/2028,IE
,LGXCH6CD7P2199623,BYD,SEAL,20/02/2024,19/02/2028,UK
,LGXCH6CD7P2197757,BYD,SEAL,4/3/2024,3/3/2028,UK
,LGXCH6CD7P2197743,BYD,SEAL,1/12/2023,30/11/2027,UK
,LGXCH6CD7P2195801,BYD,SEAL,2/1/2024,1/1/2028,IE
,LGXCH6CD7P2195796,BYD,SEAL,13/03/2024,12/3/2028,IE
,LGXCH6CD6R2008440,BYD,SEAL,27/03/2024,26/03/2028,IE
,LGXCH6CD6P2305320,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CD6P2305303,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CD6P2305298,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CD6P2303602,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CD6P2300621,BYD,SEAL,14/03/2024,13/03/2028,AT
,LGXCH6CD6P2297641,BYD,SEAL,5/4/2024,4/4/2028,BE
,LGXCH6CD6P2288096,BYD,SEAL,19/06/2024,18/06/2028,DK
,LGXCH6CD6P2281519,BYD,SEAL,7/3/2024,6/3/2028,UK
,LGXCH6CD6P2278538,BYD,SEAL,29/01/2024,28/01/2028,AT
,LGXCH6CD6P2275333,BYD,SEAL,6/2/2024,5/2/2028,IE
,LGXCH6CD6P2275297,BYD,SEAL,20/03/2024,19/03/2028,IE
,LGXCH6CD6P2275154,BYD,SEAL,23/01/2024,22/01/2028,IE
,LGXCH6CD6P2275140,BYD,SEAL,30/01/2024,29/01/2028,IE
,LGXCH6CD6P2275137,BYD,SEAL,31/01/2024,30/01/2028,IE
,LGXCH6CD6P2275123,BYD,SEAL,25/01/2024,24/01/2028,IE
,LGXCH6CD6P2275106,BYD,SEAL,12/3/2024,11/3/2028,IE
,LGXCH6CD6P2275090,BYD,SEAL,14/03/2024,13/03/2028,IE
,LGXCH6CD6P2275087,BYD,SEAL,6/3/2024,5/3/2028,IE
,LGXCH6CD6P2275073,BYD,SEAL,12/3/2024,11/3/2028,IE
,LGXCH6CD6P2275039,BYD,SEAL,15/03/2024,14/03/2028,IE
,LGXCH6CD6P2272156,BYD,SEAL,18/03/2024,17/03/2028,AT
,LGXCH6CD6P2271279,BYD,SEAL,21/02/2024,20/02/2028,FR
,LGXCH6CD6P2271265,BYD,SEAL,14/02/2024,13/02/2028,FR
,LGXCH6CD6P2271248,BYD,SEAL,10/4/2024,9/4/2028,NL
,LGXCH6CD6P2271234,BYD,SEAL,15/03/2024,14/03/2028,BE
,LGXCH6CD6P2268351,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CD6P2268348,BYD,SEAL,12/4/2024,11/4/2028,ES
,LGXCH6CD6P2268155,BYD,SEAL,31/01/2024,30/01/2028,IE
,LGXCH6CD6P2263876,BYD,SEAL,14/02/2024,13/02/2028,FR
,LGXCH6CD6P2263859,BYD,SEAL,6/5/2024,5/5/2028,ES
,LGXCH6CD6P2262680,BYD,SEAL,9/2/2024,8/2/2028,BE
,LGXCH6CD6P2258841,BYD,SEAL,15/02/2024,14/02/2028,BE
,LGXCH6CD6P2258838,BYD,SEAL,1/3/2024,29/02/2028,BE
,LGXCH6CD6P2258810,BYD,SEAL,11/5/2024,10/5/2028,NL
